ds,y,hour,weekday,is_weekend,weekofyear,month,year,is_winter
2018-07-18 12:00:00,165,12,2,0,29,7,2018,0
2018-07-18 15:00:00,88,15,2,0,29,7,2018,0
2018-07-18 18:00:00,113,18,2,0,29,7,2018,0
2018-07-18 21:00:00,17,21,2,0,29,7,2018,0
2018-07-19 03:00:00,25,3,3,0,29,7,2018,0
2018-07-19 06:00:00,63,6,3,0,29,7,2018,0
2018-07-19 09:00:00,84,9,3,0,29,7,2018,0
2018-07-19 12:00:00,125,12,3,0,29,7,2018,0
2018-07-19 15:00:00,138,15,3,0,29,7,2018,0
2018-07-19 18:00:00,96,18,3,0,29,7,2018,0
2018-07-19 21:00:00,13,21,3,0,29,7,2018,0
2018-07-20 03:00:00,26,3,4,0,29,7,2018,0
2018-07-20 06:00:00,72,6,4,0,29,7,2018,0
2018-07-20 09:00:00,164,9,4,0,29,7,2018,0
2018-07-20 12:00:00,151,12,4,0,29,7,2018,0
2018-07-20 15:00:00,122,15,4,0,29,7,2018,0
2018-07-20 18:00:00,77,18,4,0,29,7,2018,0
2018-07-20 21:00:00,12,21,4,0,29,7,2018,0
2018-07-21 03:00:00,13,3,5,1,29,7,2018,0
2018-07-21 06:00:00,38,6,5,1,29,7,2018,0
2018-07-21 09:00:00,82,9,5,1,29,7,2018,0
2018-07-21 12:00:00,159,12,5,1,29,7,2018,0
2018-07-21 15:00:00,135,15,5,1,29,7,2018,0
2018-07-21 18:00:00,95,18,5,1,29,7,2018,0
2018-07-21 21:00:00,18,21,5,1,29,7,2018,0
